ant                                Ant Plugin                                      497.v94e7d9fffa_b_9
resource-disposer                  Resource Disposer Plugin                        0.23
scm-api                            SCM API Plugin                                  690.vfc8b_54395023
script-security                    Script Security Plugin                          1341.va_2819b_414686
snakeyaml-api                      SnakeYAML API Plugin                            2.2-111.vc6598e30cc65
ssh-credentials                    SSH Credentials Plugin                          337.v395d2403ccd4
ssh-slaves                         SSH Build Agents plugin                         2.973.v0fa_8c0dea_f9f
sshd                               SSH server                                      3.330.vc866a_8389b_58
structs                            Structs Plugin                                  338.v848422169819
theme-manager                      Theme Manager                                   262.vc57ee4a_eda_5d
timestamper                        Timestamper                                     1.27
token-macro                        Token Macro Plugin                              400.v35420b_922dcb_
trilead-api                        Trilead API Plugin                              2.147.vb_73cc728a_32e
variant                            Variant Plugin                                  60.v7290fc0eb_b_cd
workflow-aggregator                Pipeline                                        600.vb_57cdd26fdd7
workflow-api                       Pipeline: API                                   1316.v33eb_726c50b_a_
workflow-basic-steps               Pipeline: Basic Steps                           1058.vcb_fc1e3a_21a_9
workflow-cps                       Pipeline: Groovy                                3903.v48a_8836749e9
workflow-durable-task-step         Pipeline: Nodes and Processes                   1353.v1891a_b_01da_18
workflow-job                       Pipeline: Job                                   1400.v7fd111b_ec82f
workflow-multibranch               Pipeline: Multibranch                           783.787.v50539468395f
workflow-scm-step                  Pipeline: SCM Step                              427.v4ca_6512e7df1
workflow-step-api                  Pipeline: Step API                              657.v03b_e8115821b_
workflow-support                   Pipeline: Supporting APIs                       907.v6713a_ed8a_573
ws-cleanup                         Workspace Cleanup Plugin                        0.46
